name	chi2f	dummy1	dummy2 	dummy3	dummy4
pq125a279	5010				
pq125a280	5067				
pq125a281	5068				
pq125a282	5060				
pq125a283	5061				
pq125a284	5019				
pq125a285	5019				
pq125a286	5019				
pq125a287	5054				
pq125a288	5213				
